زن حال پوست کندن پیاز,زن حال خرد پیازچه
شخصی حال مخلوط برنج قابلمه,شخصی حال پوست کندن سیب
مرد حال چرخاندن طناب,میمون حال پرش روی درختان
فردی حال خرد پیاز,فردی حال حمل ماهی
مرد حال برش گوجه,زن حال برش کلم بروکلی
فردی سوپ مرغ قابلمه ریخت,مرد آبگوشت قابلمه ریخت
مرد بینی خود حال نواختن کیبورد,مرد بینی خود حال نواختن پیانو
مرد حال نواختن گیتار,گربه حال بازی
حیوان حال خوردن,حیوان حال رقص
مرد حال بلند وزنه,مرد حال بلند هالتر
مرد اتوبوس حال دویدن,مرد کامیون
مرد حال بالا رفتن طناب,مرد حال نشستن روی صخره
گربه حال نواختن پیانو,گربه حال لیسیدن پنجه خود
گربه حال تمیز خود,گربه حال لیسیدن خود
مرد پا توپ فوتبال ضربه,مرد توپ فوتبال حرکات تکنیکی انجام
مرد حال دویدن مسابقه,دونده
مرد حال برش زدن گوجه قطعات کوچک,زن حال برش زدن سیب
زن حال باز پنجره,زن بیرون پنجره نگاه
زن حال برش زدن سیب,زن حال خرد هویج
سه مرد رقص یکسانی خیابان انجام,سه مرد لخت خیابان
مرغ موش مرده نوک,خروس موش مرده نوک
زن حال خرد پیاز,زن حال خرد سیر چاقو
شخصی چراغ جهت روشن دو دوربین استفاده,شخصی دوربین
زن حال خرد لیمو,زن آشپزخانه حال پوست کندن لیمو
ببر سعی,شیر تلاش
مرد حال آماده آویزان طناب,مرد حال بستن طناب
بازیکن فوتبال توپ فوتبال مسیر دور زمین وارد دروازه,بازیکن فوتبال توپ وارد دروازه
توله سگ تلاش خروج سینک,توله سگ تلاش
دختر حال نواختن پیانو,دختر کوچک حال نواختن پیانو بزرگ روی صحنه
شخصی تکه کاغذ صورت مربعی چین,شخصی تکه کاغذ چین
زن چاقو فلفل خرد,زن فلفل
خرس پاندا حال جویدن روی چوب,بچه پاندا حال بازی چوب
مرد تلاش موش عنوان غذا مار دهد,مرد موش مار اذیت
