یک مرد در حال دویدن است.	یک مرد در حال رقصیدن است.	0.25
یک مرد در حال دویدن است.	یک مرد در حال آواز خواندن است.	0.25
یک مرد مرد دیگری را روی شانه	یک مرد فردی را روی شانه	0.65
یک زن سیب	یک زن گوجه را خرد می	0.2666
یک زن یک گوجه را برش می	یک زن یک سیب	0.2
شخصی سیب	شخصی گوجه را خرد می	0.28
یک زن سیب	یک زن گوجه را خرد می	0.2666
دو پسر روی نیمکت با لپ	دو پسر با لپ	0.8
مرد در جنگل گردش می	یک مرد در جنگل ردیابی می	0.6
شخصی پودر فلفل را با فلفل به همراه حبوبات اضافه می	مرد ادویه را به حبوبات اضافه می	0.76
یک زن لیمو را فشار می	یک زن لیمو را برای خارج کردن آب فشار می	0.88
یک مرد پیانو می	یک مرد یک ویولن را می	0.4
یک کودک در حال پیانو زدن است.	یک مرد در حال زدن یک پیانو است.	0.6
یک بچه فیل در حال خوردن است.	یک بچه فیل در حال خوردن نهال است.	0.723
شخصی پوست سیب	مرد پوست سیب	0.75
شخصی در حال پیانو زدن است.	شخصی در حال خرد کردن سیب	0.1
یک زن در حال شکستن تخم	یک زن در حال شکستن تخم مرغ	0.8
شخصی با رایانه بازی می	یک کودک با یک رایانه بازی می	0.8
یک پسر با شمشیر به یک مرد صدمه زد.	یک پسر با یک شمشیر پلاستیکی به یک مرد ضربه زد.	0.6666
شخصی هویج را به چند قطعه خرد کرد.	شخصی پیاز را به چند قطعه برش داد.	0.3
یک مرد با چاقو بطری آب را به چند تکه برش داد.	یک مرد با چاقو یک خط از بطری آب را برش داد. 	0.88
فردی در حال سرخ کردن گوشت است.	فردی در حال نواختن پیانو است.	0.05
یک مرد به سرعت با چاقو مقداری قارچ را خرد می	شخصی مقداری قارچ را سریع با چاقو خرد می	0.75
یک زن مواد را داخل کاسه اضافه می	یک زن سه عدد تخم	0.35
یک اسکیت باز در سطح شیبدار اسکیت تمرین می	یک مرد در سطح شیبدار اسکیت می	0.7
یک مرد روی صحنه صحبت می	یک مرد پشت تریبون صحبت می	0.68
یک مرد در حال اجرای گیتار است.	یک مرد با یک کلاه در حال اجرای چنگ است.	0.28
یک مرد در حال نواختن پیانو است.	یک مرد در حال اجرای گیتار است.	0.28
شخصی در حال برش زدن سیب	شخصی در حال خرد کردن موسیر است.	0.2
یک مرد در حال نواختن طبل است.	یک مرد در حال اجرای گیتار است.	0.36
فردی در حال ادویه زدن به تخم	فردی در حال ادویه زدن به دو تخم	0.72
یک زن در حال پوست کندن پیاز است.	زن در حال خرد کردن پیازچه است.	0.65
شخصی در حال مخلوط کردن برنج در قابلمه است.	شخصی در حال پوست کندن سیب	0.1556
یک مرد در حال چرخاندن طناب است.	یک میمون در حال پرش بر روی درختان است.	0.25
فردی در حال خرد کردن یک پیاز است.	فردی در حال حمل یک ماهی است.	0.15
یک مرد در حال برش گوجه است.	یک زن در حال برش کلم بروکلی است.	0.3
فردی سوپ مرغ را در قابلمه ریخت.	مرد آبگوشت را در قابلمه ریخت.	0.75
یک مرد با بینی خود در حال نواختن کیبورد است.	یک مرد با بینی خود در حال نواختن پیانو است.	0.88
یک مرد در حال نواختن گیتار است.	یک گربه در حال بازی است.	0.08
یک حیوان در حال خوردن است.	حیوان در حال رقص است.	0.08
یک مرد در حال بلند کردن وزنه است.	یک مرد در حال بلند کردن هالتر است.	0.84
یک مرد با اتوبوس در حال دویدن است.	یک مرد با کامیون می	0.5
یک مرد در حال بالا رفتن با طناب است.	یک مرد در حال نشستن روی صخره است.	0.05
یک گربه در حال نواختن پیانو است.	یک گربه در حال لیسیدن پنجه خود است.	0.05
یک گربه در حال تمیز کردن خود است.	یک گربه در حال لیسیدن خود است.	0.76
یک مرد با پا به توپ فوتبال ضربه می	یک مرد با توپ فوتبال حرکات تکنیکی انجام می	0.52
مرد در حال دویدن در مسابقه است.	دونده	0.52
یک مرد در حال برش زدن گوجه به قطعات کوچک است.	یک زن در حال برش زدن سیب	0.4
یک زن در حال باز کردن پنجره است.	یک زن به بیرون از پنجره نگاه می	0.36
یک زن در حال برش زدن سیب	یک زن در حال خرد کردن هویج است.	0.24
سه مرد رقص یکسانی را در خیابان انجام می	سه مرد لخت در خیابان می	0.76
یک مرغ به موش مرده نوک می	یک خروس به موش مرده نوک می	0.72
یک زن در حال خرد کردن یک پیاز است.	یک زن در حال خرد کردن یک سیر با چاقو است.	0.36
شخصی از یک چراغ جهت روشن کردن دو دوربین استفاده می	شخصی دوربین	0.4666
یک زن در حال خرد کردن لیمو است.	یک زن در آشپزخانه در حال پوست کندن لیمو است.	0.5334
یک ببر سعی می	یک شیر تلاش می	0.6
یک مرد در حال آماده شدن برای آویزان شدن از یک طناب است.	یک مرد در حال بستن یک طناب است.	0.9334
یک بازیکن فوتبال توپ فوتبال را از یک مسیر دور در زمین وارد دروازه می	یک بازیکن فوتبال توپ را وارد دروازه می	0.65
یک توله سگ در تلاش برای خروج از سینک است.	یک توله سگ تلاش می	0.6
یک دختر در حال نواختن پیانو است.	یک دختر کوچک در حال نواختن یک پیانو بزرگ روی صحنه است.	0.6666
شخصی یک تکه کاغذ را به صورت مربعی چین می	شخصی یک تکه کاغذ را چین می	0.75
یک زن با یک چاقو فلفل را خرد می	یک زن فلفل	0.8
یک خرس پاندا در حال جویدن روی یک چوب است.	یک بچه پاندا در حال بازی با یک چوب است.	0.6
یک مرد در تلاش است تا یک موش را به عنوان غذا به مار دهد.	یک مرد یک موش را با مار اذیت می	0.64
